Team,Year,Payroll,Wins ,Playoffs
Orioles,2000,81.45,74,0
Yankees,2000,92.54,87,5
BlueJays,2000,46.24,83,0
Tampa ,2000,62.77,69,0
RedSox,2000,77.94,85,0
WhiteSox,2000,31.13,95,2
Guardians,2000,75.88,90,0
Twins,2000,16.52,69,0
Royals,2000,23.43,77,0
Tigers,2000,58.27,79,0
Astros,2000,51.29,72,0
Rangers,2000,70.8,71,0
Athletics,2000,31.97,91,2
Angels,2000,51.46,82,0
Mariners,2000,58.92,91,2
Mets,2000,79.51,94,4
Braves,2000,84.54,95,2
Marlins,2000,20.07,79,0
Nationals,2000,34.81,67,0
Phillies,2000,47.31,65,0
Brewers,2000,36.51,73,0
Cubs,2000,60.54,65,0
Reds ,2000,46.87,85,0
Pirates,2000,28.93,69,0
Cardinals,2000,61.45,95,3
Dodgers,2000,88.12,86,0
Padres,2000,54.82,76,0
Rockies,2000,61.11,82,0
Diamondbacks,2000,81.03,85,0
Giants,2000,53.74,97,2
Orioles,2001,72.43,63,0
Yankees,2001,109.78,95,4
BlueJays,2001,75.8,80,0
Tampa ,2001,54.95,62,0
RedSox,2001,109.56,82,0
WhiteSox,2001,62.36,83,0
Guardians,2001,91.97,91,2
Twins,2001,24.35,85,0
Royals,2001,35.64,65,0
Tigers,2001,49.83,66,0
Astros,2001,60.38,93,2
Rangers,2001,88.5,72,0
Athletics,2001,33.81,102,2
Angels,2001,46.57,75,0
Mariners,2001,75.65,116,2
Mets,2001,93.17,82,0
Braves,2001,91.85,88,3
Marlins,2001,35.5,76,0
Nationals,2001,34.77,68,0
Phillies,2001,41.66,86,0
Brewers,2001,43.1,68,0
Cubs,2001,64.01,88,0
Reds ,2001,45.23,66,0
Pirates,2001,52.7,62,0
Cardinals,2001,77.27,93,2
Dodgers,2001,108.98,86,0
Padres,2001,38.33,79,0
Rockies,2001,71.07,73,0
Diamondbacks,2001,81.21,92,5
Giants,2001,63.33,90,0
Orioles,2002,60.49,67,0
Yankees,2002,125.93,103,2
BlueJays,2002,76.86,78,0
Tampa ,2002,34.38,55,0
RedSox,2002,108.37,93,0
WhiteSox,2002,57.05,81,0
Guardians,2002,78.91,74,0
Twins,2002,40.23,94,3
Royals,2002,47.26,62,0
Tigers,2002,55.05,55,0
Astros,2002,63.45,84,0
Rangers,2002,105.3,73,0
Athletics,2002,39.68,103,2
Angels,2002,61.72,95,5
Mariners,2002,80.28,93,0
Mets,2002,94.63,75,0
Braves,2002,93.47,101,2
Marlins,2002,41.98,79,0
Nationals,2002,38.67,83,0
Phillies,2002,57.96,80,0
Brewers,2002,50.287,56,0
Cubs,2002,75.69,67,0
Reds ,2002,45.05,78,0
Pirates,2002,42.323,72,0
Cardinals,2002,74.1,97,3
Dodgers,2002,94.85,92,0
Padres,2002,41.43,66,0
Rockies,2002,56.85,73,0
Diamondbacks,2002,102.82,98,2
Giants,2002,78.3,95,4
Orioles,2003,73.88,71,0
Yankees,2003,152.75,101,4
BlueJays,2003,51.27,86,0
Tampa ,2003,19.63,63,0
RedSox,2003,99.95,95,3
WhiteSox,2003,51.01,86,0
Guardians,2003,48.58,68,0
Twins,2003,55.51,90,2
Royals,2003,40.52,83,0
Tigers,2003,49.17,43,0
Astros,2003,71.04,87,0
Rangers,2003,103.49,71,0
Athletics,2003,50.26,96,0
Angels,2003,79.03,77,0
Mariners,2003,86.96,93,0
Mets,2003,117.18,66,0
Braves,2003,106.24,101,2
Marlins,2003,49.05,91,5
Nationals,2003,51.95,83,0
Phillies,2003,70.78,86,0
Brewers,2003,40.63,68,0
Cubs,2003,79.87,88,3
Reds ,2003,59.36,69,0
Pirates,2003,54.81,75,0
Cardinals,2003,83.49,85,0
Dodgers,2003,105.87,85,0
Padres,2003,47.93,64,0
Rockies,2003,67.18,74,0
Diamondbacks,2003,80.64,84,0
Giants,2003,82.85,100,2
Orioles,2004,51.21,78,0
Yankees,2004,182.86,101,3
BlueJays,2004,50.02,67,0
Tampa ,2004,29.51,70,0
RedSox,2004,125.21,98,5
WhiteSox,2004,65.21,83,0
Guardians,2004,34.57,80,0
Twins,2004,53.59,92,2
Royals,2004,47.61,58,0
Tigers,2004,46.35,72,0
Astros,2004,74.67,92,3
Rangers,2004,54.825,89,0
Athletics,2004,59.825,91,0
Angels,2004,101.08,92,2
Mariners,2004,81.54,63,0
Mets,2004,100.63,71,0
Braves,2004,88.51,96,2
Marlins,2004,42.12,83,0
Nationals,2004,43.2,67,0
Phillies,2004,93.23,86,0
Brewers,2004,27.52,67,0
Cubs,2004,91.1,89,0
Reds ,2004,43.07,76,0
Pirates,2004,32.23,72,0
Cardinals,2004,75.63,105,4
Dodgers,2004,89.69,93,2
Padres,2004,54.64,87,0
Rockies,2004,64.59,68,0
Diamondbacks,2004,70.2,51,0
Giants,2004,82.02,91,0
Orioles,2005,74.57,74,0
Yankees,2005,205.94,95,2
BlueJays,2005,45.37,80,0
Tampa ,2005,29.89,67,0
RedSox,2005,121.31,95,2
WhiteSox,2005,75.23,99,5
Guardians,2005,41.83,93,0
Twins,2005,56.62,83,0
Royals,2005,36.88,56,0
Tigers,2005,69,71,0
Astros,2005,76.78,89,4
Rangers,2005,55.31,79,0
Athletics,2005,55.87,88,0
Angels,2005,95.02,95,3
Mariners,2005,85.88,69,0
Mets,2005,104.77,83,0
Braves,2005,85.15,90,2
Marlins,2005,60.38,83,0
Nationals,2005,48.58,81,0
Phillies,2005,95.34,88,0
Brewers,2005,40.23,81,0
Cubs,2005,87.21,79,0
Reds ,2005,59.66,73,0
Pirates,2005,38.14,67,0
Cardinals,2005,93.32,100,3
Dodgers,2005,81.03,71,0
Padres,2005,62.89,82,2
Rockies,2005,47.79,67,0
Diamondbacks,2005,63.02,77,0
Giants,2005,89.49,75,0
Orioles,2006,72.6,70,0
Yankees,2006,194.66,97,2
BlueJays,2006,71.92,87,0
Tampa ,2006,35.42,61,0
RedSox,2006,120.1,86,0
WhiteSox,2006,102.75,90,0
Guardians,2006,56.03,78,0
Twins,2006,63.4,96,2
Royals,2006,47.3,62,0
Tigers,2006,82.61,95,4
Astros,2006,92.55,82,0
Rangers,2006,68.23,80,0
Athletics,2006,62.24,93,2
Angels,2006,103.47,89,0
Mariners,2006,87.96,78,0
Mets,2006,101.08,97,3
Braves,2006,90.16,79,0
Marlins,2006,15,78,0
Nationals,2006,63.14,71,0
Phillies,2006,88.27,85,0
Brewers,2006,57.57,75,0
Cubs,2006,94.42,66,0
Reds ,2006,60.91,80,0
Pirates,2006,46.72,67,0
Cardinals,2006,88.89,83,5
Dodgers,2006,98.45,88,2
Padres,2006,69.9,88,2
Rockies,2006,41.233,76,0
Diamondbacks,2006,59.68,76,0
Giants,2006,90.06,76,0
Orioles,2007,93.55,69,0
Yankees,2007,189.64,94,2
BlueJays,2007,81.94,83,0
Tampa ,2007,24.12,66,0
RedSox,2007,143.03,96,5
WhiteSox,2007,108.67,72,0
Guardians,2007,61.67,96,2
Twins,2007,71.44,79,0
Royals,2007,67.12,69,0
Tigers,2007,95.18,88,0
Astros,2007,87.76,73,0
Rangers,2007,68.32,75,0
Athletics,2007,79.37,76,0
Angels,2007,109.25,94,2
Mariners,2007,106.46,88,0
Mets,2007,115.23,88,0
Braves,2007,87.3,84,0
Marlins,2007,30.51,71,0
Nationals,2007,37.35,73,0
Phillies,2007,89.43,89,2
Brewers,2007,70.99,83,0
Cubs,2007,99.67,85,2
Reds ,2007,68.9,72,0
Pirates,2007,38.54,68,0
Cardinals,2007,90.29,78,0
Dodgers,2007,108.45,82,0
Padres,2007,58.11,89,0
Rockies,2007,54.42,90,4
Diamondbacks,2007,52.1,90,3
Giants,2007,90.23,71,0
Orioles,2008,67.2,68,0
Yankees,2008,209.08,89,0
BlueJays,2008,97.79,86,0
Tampa ,2008,43.82,97,4
RedSox,2008,133.39,95,3
WhiteSox,2008,121.19,89,2
Guardians,2008,78.97,81,0
Twins,2008,56.93,88,0
Royals,2008,58.25,75,0
Tigers,2008,137.69,74,0
Astros,2008,88.93,86,0
Rangers,2008,67.71,79,0
Athletics,2008,47.97,75,0
Angels,2008,119.22,100,2
Mariners,2008,117.67,61,0
Mets,2008,137.79,89,0
Braves,2008,102.37,74,0
Marlins,2008,21.81,84,0
Nationals,2008,54.96,59,0
Phillies,2008,98.27,92,5
Brewers,2008,80.94,90,2
Cubs,2008,118.35,97,2
Reds ,2008,74.12,74,0
Pirates,2008,48.69,67,0
Cardinals,2008,99.62,86,0
Dodgers,2008,118.59,84,3
Padres,2008,73.68,63,0
Rockies,2008,68.66,74,0
Diamondbacks,2008,66.2,82,0
Giants,2008,76.59,72,0
Orioles,2009,67.1,64,0
Yankees,2009,201.45,103,5
BlueJays,2009,80.99,75,0
Tampa ,2009,63.31,84,0
RedSox,2009,122.7,95,2
WhiteSox,2009,96.07,79,0
Guardians,2009,81.63,65,0
Twins,2009,65.3,87,2
Royals,2009,70.91,65,0
Tigers,2009,115.09,86,0
Astros,2009,103,74,0
Rangers,2009,68.65,87,0
Athletics,2009,62.31,75,0
Angels,2009,113.71,97,3
Mariners,2009,98.9,85,0
Mets,2009,135.77,70,0
Braves,2009,96.73,86,0
Marlins,2009,36.81,87,0
Nationals,2009,59.33,59,0
Phillies,2009,113,93,4
Brewers,2009,80.26,80,0
Cubs,2009,135.1,83,0
Reds ,2009,70.97,78,0
Pirates,2009,48.74,62,0
Cardinals,2009,88.53,91,2
Dodgers,2009,100.46,95,3
Padres,2009,42.8,75,0
Rockies,2009,75.2,92,2
Diamondbacks,2009,73.57,70,0
Giants,2009,82.16,88,0
Orioles,2010,81.61,66,0
Yankees,2010,206.33,95,3
BlueJays,2010,62.69,85,0
Tampa ,2010,71.92,96,2
RedSox,2010,162.75,89,0
WhiteSox,2010,108.27,88,0
Guardians,2010,61.2,69,0
Twins,2010,97.56,94,2
Royals,2010,72.23,67,0
Tigers,2010,122.86,81,0
Astros,2010,92.36,76,0
Rangers,2010,55.25,90,4
Athletics,2010,51.65,81,0
Angels,2010,105.01,80,0
Mariners,2010,98.38,61,0
Mets,2010,132.7,79,0
Braves,2010,84.42,91,2
Marlins,2010,55.64,80,0
Nationals,2010,61.43,69,0
Phillies,2010,141.93,97,3
Brewers,2010,81.12,77,0
Cubs,2010,146.86,75,0
Reds ,2010,72.39,91,2
Pirates,2010,34.94,57,0
Cardinals,2010,93.54,86,0
Dodgers,2010,94.95,80,0
Padres,2010,37.8,90,0
Rockies,2010,84.23,83,0
Diamondbacks,2010,60.72,65,0
Giants,2010,97.83,92,5
Orioles,2011,85.3,69,0
Yankees,2011,201.69,97,2
BlueJays,2011,62.52,81,0
Tampa ,2011,41.93,92,2
RedSox,2011,161.41,90,0
WhiteSox,2011,129.29,79,0
Guardians,2011,49.19,80,0
Twins,2011,112.74,63,0
Royals,2011,36.13,71,0
Tigers,2011,105.71,95,3
Astros,2011,70.69,56,0
Rangers,2011,92.3,96,4
Athletics,2011,66.54,74,0
Angels,2011,140,86,0
Mariners,2011,86.42,67,0
Mets,2011,120.15,77,0
Braves,2011,87,89,0
Marlins,2011,56.94,72,0
Nationals,2011,63.681,80,0
Phillies,2011,172.98,102,2
Brewers,2011,85.5,95,3
Cubs,2011,125.48,71,0
Reds ,2011,76.18,79,0
Pirates,2011,46.05,72,0
Cardinals,2011,105.43,90,5
Dodgers,2011,103.79,82,0
Padres,2011,45.87,71,0
Rockies,2011,88,73,0
Diamondbacks,2011,53.64,94,2
Giants,2011,118.22,86,0
Orioles,2012,81.43,93,2
Yankees,2012,197.96,95,3
BlueJays,2012,75.49,73,0
Tampa ,2012,64.17,90,0
RedSox,2012,173.19,69,0
WhiteSox,2012,96.92,85,0
Guardians,2012,78.43,68,0
Twins,2012,94.09,66,0
Royals,2012,60.92,72,0
Tigers,2012,132.3,88,4
Astros,2012,60.65,55,0
Rangers,2012,120.51,93,1
Athletics,2012,55.37,94,2
Angels,2012,154.49,89,0
Mariners,2012,81.98,75,0
Mets,2012,93.35,74,0
Braves,2012,83.31,94,1
Marlins,2012,118.08,69,0
Nationals,2012,81.34,98,2
Phillies,2012,174.54,81,0
Brewers,2012,97.65,83,0
Cubs,2012,88.2,61,0
Reds ,2012,82.2,97,2
Pirates,2012,63.43,79,2
Cardinals,2012,110.3,88,3
Dodgers,2012,95.14,86,0
Padres,2012,55.24,76,0
Rockies,2012,78.07,64,0
Diamondbacks,2012,74.28,81,0
Giants,2012,117.62,94,5
Orioles,2013,90.99,85,0
Yankees,2013,228.84,85,0
BlueJays,2013,117.53,74,0
Tampa ,2013,57.9,92,2
RedSox,2013,150.66,97,5
WhiteSox,2013,119.07,63,0
Guardians,2013,77.77,92,1
Twins,2013,75.8,66,0
Royals,2013,81.49,86,0
Tigers,2013,148.41,93,3
Astros,2013,22.06,51,0
Rangers,2013,114.09,91,0
Athletics,2013,60.66,96,2
Angels,2013,127.9,78,0
Mariners,2013,72.03,71,0
Mets,2013,73.4,74,0
Braves,2013,89.78,96,2
Marlins,2013,36.34,62,0
Nationals,2013,114.06,86,0
Phillies,2013,165.39,73,0
Brewers,2013,82.98,74,0
Cubs,2013,104.3,66,0
Reds ,2013,107.49,90,1
Pirates,2013,79.56,94,2
Cardinals,2013,115.22,97,4
Dodgers,2013,216.6,92,3
Padres,2013,67.14,76,0
Rockies,2013,71.92,74,0
Diamondbacks,2013,89.1,81,0
Giants,2013,140.26,76,0
Orioles,2014,107.41,96,3
Yankees,2014,203.81,84,0
BlueJays,2014,132.63,83,0
Tampa ,2014,77.06,77,0
RedSox,2014,162.82,71,0
WhiteSox,2014,91.16,73,0
Guardians,2014,82.534,85,0
Twins,2014,85.78,70,0
Royals,2014,92.03,89,4
Tigers,2014,162.23,90,2
Astros,2014,44.54,70,0
Rangers,2014,136.04,67,0
Athletics,2014,83.4,88,1
Angels,2014,155.692,98,2
Mariners,2014,92.08,87,0
Mets,2014,89.05,79,0
Braves,2014,110.9,79,0
Marlins,2014,47.57,77,0
Nationals,2014,134.7,96,2
Phillies,2014,180.05,73,0
Brewers,2014,103.84,82,0
Cubs,2014,89.01,73,0
Reds ,2014,112.4,76,0
Pirates,2014,78.11,88,1
Cardinals,2014,111.02,90,3
Dodgers,2014,235.3,94,2
Padres,2014,90.09,77,0
Rockies,2014,95.83,66,0
Diamondbacks,2014,112.69,64,0
Giants,2014,154.19,88,5
Orioles,2015,110.15,81,0
Yankees,2015,219.28,87,1
BlueJays,2015,122.51,93,3
Tampa ,2015,76.06,80,0
RedSox,2015,187.41,78,0
WhiteSox,2015,115.24,76,0
Guardians,2015,86.09,81,0
Twins,2015,108.95,83,0
Royals,2015,113.62,95,5
Tigers,2015,173.81,74,0
Astros,2015,70.91,86,2
Rangers,2015,142.14,88,2
Athletics,2015,86.09,68,0
Angels,2015,150.93,85,0
Mariners,2015,119.8,76,0
Mets,2015,101.41,90,4
Braves,2015,97.58,67,0
Marlins,2015,68.48,71,0
Nationals,2015,164.92,83,0
Phillies,2015,135.83,63,0
Brewers,2015,105,68,0
Cubs,2015,119.01,97,3
Reds ,2015,117.2,64,0
Pirates,2015,88.3,98,1
Cardinals,2015,120.87,100,2
Dodgers,2015,272.79,92,2
Padres,2015,100.68,74,0
Rockies,2015,102.01,68,0
Diamondbacks,2015,91.52,79,0
Giants,2015,172.67,84,0
Orioles,2016,115.59,89,1
Yankees,2016,213.47,84,0
BlueJays,2016,126.37,89,3
Tampa ,2016,73.65,68,0
RedSox,2016,182.16,93,2
WhiteSox,2016,98.7,78,0
Guardians,2016,86.34,94,4
Twins,2016,108.26,59,0
Royals,2016,112.91,81,0
Tigers,2016,172.28,86,0
Astros,2016,69.06,84,0
Rangers,2016,144.31,95,2
Athletics,2016,80.23,69,0
Angels,2016,146.45,74,0
Mariners,2016,122.71,86,0
Mets,2016,99.63,87,1
Braves,2016,87.62,68,0
Marlins,2016,84.64,79,0
Nationals,2016,166.01,95,2
Phillies,2016,133.05,71,0
Brewers,2016,98.68,73,0
Cubs,2016,116.65,103,5
Reds ,2016,116.73,68,0
Pirates,2016,85.89,78,0
Cardinals,2016,120.3,86,0
Dodgers,2016,223.35,91,3
Padres,2016,112.9,68,0
Rockies,2016,98.26,75,0
Diamondbacks,2016,70.76,69,0
Giants,2016,166.5,87,2
Orioles,2017,163.68,75,0
Yankees,2017,201.54,91,3
BlueJays,2017,177.8,76,0
Tampa ,2017,69.96,80,0
RedSox,2017,199.81,93,2
WhiteSox,2017,99.12,67,0
Guardians,2017,124.86,102,2
Twins,2017,108.1,85,1
Royals,2017,140.93,80,0
Tigers,2017,199.75,64,0
Astros,2017,124.34,101,5
Rangers,2017,175.91,78,0
Athletics,2017,81.74,75,0
Angels,2017,160.38,80,0
Mariners,2017,154.8,78,0
Mets,2017,155.19,70,0
Braves,2017,112.44,72,0
Marlins,2017,111.88,77,0
Nationals,2017,167.85,97,2
Phillies,2017,111.38,66,0
Brewers,2017,63.06,86,0
Cubs,2017,172.19,92,3
Reds ,2017,93.77,68,0
Pirates,2017,100.58,75,0
Cardinals,2017,152.45,83,0
Dodgers,2017,242.07,104,4
Padres,2017,71.624,71,0
Rockies,2017,130.96,87,1
Diamondbacks,2017,93.26,93,2
Giants,2017,172.35,64,0
Orioles,2018,143.1,47,0
Yankees,2018,168.54,100,2
BlueJays,2018,162.32,73,0
Tampa ,2018,78.73,90,0
RedSox,2018,235.65,108,5
WhiteSox,2018,72.2,62,0
Guardians,2018,134.35,91,2
Twins,2018,131.91,78,0
Royals,2018,129.92,58,0
Tigers,2018,129.92,64,0
Astros,2018,160.04,103,3
Rangers,2018,144,67,0
Athletics,2018,68.53,97,1
Angels,2018,175.1,80,0
Mariners,2018,162.48,89,0
Mets,2018,154.61,77,0
Braves,2018,120.54,90,2
Marlins,2018,98.64,63,0
Nationals,2018,181.59,82,0
Phillies,2018,96.85,70,0
Brewers,2018,90.24,96,3
Cubs,2018,183.46,95,1
Reds ,2018,101.19,67,0
Pirates,2018,87.88,82,0
Cardinals,2018,161.01,88,0
Dodgers,2018,186.14,92,4
Padres,2018,96.13,66,0
Rockies,2018,141.34,91,2
Diamondbacks,2018,132.5,82,0
Giants,2018,208.51,73,0
Orioles,2019,72.72,54,0
Yankees,2019,208.08,103,3
BlueJays,2019,112.04,76,0
Tampa ,2019,60.44,96,2
RedSox,2019,22.17,84,0
WhiteSox,2019,116.48,72,0
Guardians,2019,119.24,93,0
Twins,2019,121.28,101,2
Royals,2019,100.66,59,0
Tigers,2019,116.48,47,0
Astros,2019,160.77,107,4
Rangers,2019,127.66,78,0
Athletics,2019,92.32,97,1
Angels,2019,159.38,72,0
Mariners,2019,150.91,68,0
Mets,2019,159,86,0
Braves,2019,113.78,97,2
Marlins,2019,72.45,57,0
Nationals,2019,161.88,93,5
Phillies,2019,140.71,81,0
Brewers,2019,124.76,89,1
Cubs,2019,89.35,84,0
Reds ,2019,126.42,75,0
Pirates,2019,76.59,69,0
Cardinals,2019,162.83,91,3
Dodgers,2019,196.73,106,2
Padres,2019,99.2,70,0
Rockies,2019,147.43,71,0
Diamondbacks,2019,123.93,85,0
Giants,2019,178.29,77,0
Orioles,2021,42.42,52,0
Yankees,2021,205.67,92,1
BlueJays,2021,150.14,91,0
Tampa ,2021,70.84,100,2
RedSox,2021,187.1,92,3
WhiteSox,2021,140.93,93,2
Guardians,2021,50.67,80,0
Twins,2021,120.08,73,0
Royals,2021,91.6,74,0
Tigers,2021,86.35,77,0
Astros,2021,194.22,95,4
Rangers,2021,95.79,60,0
Athletics,2021,90.4,86,0
Angels,2021,180.35,77,0
Mariners,2021,83.82,90,0
Mets,2021,201.19,77,0
Braves,2021,152.75,88,5
Marlins,2021,58.16,67,0
Nationals,2021,144.42,55,0
Phillies,2021,197.26,82,0
Brewers,2021,99.38,95,2
Cubs,2021,144.61,71,0
Reds ,2021,126.59,83,0
Pirates,2021,54.36,61,0
Cardinals,2021,151.47,90,1
Dodgers,2021,266.02,106,3
Padres,2021,179.76,79,0
Rockies,2021,116.41,74,0
Diamondbacks,2021,91.63,52,0
Giants,2021,171.89,107,2